excess,factor
100,0.999046334
200,0.997836376
300,0.99650616
400,0.995091291
500,0.993609944
600,0.992073371
700,0.990489298
800,0.988863393
900,0.987200006
1000,0.985502595
2000,0.967109092
3000,0.946887458
4000,0.925378933
5000,0.902859837
6000,0.879501212
7000,0.855420507
8000,0.830703866
9000,0.805417443
10000,0.77961379
11000,0.753335762
12000,0.726619038
13000,0.699493828
14000,0.671986072
15000,0.64411831
16000,0.615910329
17000,0.587379647
18000,0.558541895
19000,0.529411116
20000,0.5
