occupation_code,occupation_label,occupation_category,occupation_active,itpi_eligibility,itpi_question_set,itpi_hazard_class,itpi_min_excess,itpi_min_premium,itpi_default_limit_pi,itpi_default_ri_pi,itpi_default_limit_ppl,itpi_endorsements,itpi_wording,ah_eligibility,ah_question_set,ah_hazard_class,ah_min_excess,ah_min_premium,ah_default_limit,ah_endorsements,ah_wording,gp_eligibility,gp_question_set,gp_hazard_class,gp_min_excess,gp_min_premium,gp_default_limit,gp_endorsements,gp_wording
01110010,Bulb Growing - Under Cover,01,true,no,,,,,,,,,,no,,,,,,,,no,,,,,,,
01110045,Plant Nursery Operation - Under Cover,01,true,no,,,,,,,,,,no,,,,,,,,no,,,,,,,
01110055,Seedling Growing - Under Cover,01,true,no,,,,,,,,,,no,,,,,,,,no,,,,,,,
01110060,Vine Stock Nursery Operation - Under Cover,01,true,no,,,,,,,,,,no,,,,,,,,no,,,,,,,
01120005,Bulb Growing - Outdoors,01,true,no,,,,,,,,,,no,,,,,,,,no,,,,,,,
01120015,Fruit Tree Nursery Operation - Outdoors,01,true,no,,,,,,,,,,no,,,,,,,,no,,,,,,,
01120040,Ornamental Plant Propagating - Outdoors,01,true,no,,,,,,,,,,no,,,,,,,,no,,,,,,,
01120045,Plant Nursery Operation - Outdoors,01,true,no,,,,,,,,,,no,,,,,,,,no,,,,,,,
01120060,Vine Stock Nursery Operation - Outdoors,01,true,no,,,,,,,,,,no,,,,,,,,no,,,,,,,
01130005,Grass Growing - Turf,01,true,no,,,,,,,,,,no,,,,,,,,no,,,,,,,
01130015,Lawn Seed Growing,01,true,no,,,,,,,,,,no,,,,,,,,no,,,,,,,
01140010,Display Foliage Growing - Under Cover,01,true,no,,,,,,,,,,no,,,,,,,,no,,,,,,,
01140020,Flower Growing - Under Cover,01,true,no,,,,,,,,,,no,,,,,,,,no,,,,,,,
01140025,Flower Seed Growing - Under Cover,01,true,no,,,,,,,,,,no,,,,,,,,no,,,,,,,
